phone,price,double_num,category
0990151632,129,"99,90,01,15,51,16,63,32,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,การเงิน,ความรัก,การเรียน,การงาน,"
0912760540,10700,"91,12,27,76,60,05,54,40,","การงาน,ประมาท,ความเครียด,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,การเรียน,"
0991690006,1200,"99,91,16,69,90,00,00,06,","ความมั่นคง,การงาน,การเรียน,การเงิน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0910208729,249,"91,10,02,20,08,87,72,29,","การงาน,ประมาท,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ความเครียด,ปัญหาด้านสุขภาพ,"
0912594461,11000,"91,12,25,59,94,44,46,61,","การงาน,ประมาท,ความเครียด,การเงิน,ความรัก,การเรียน,"
0919426641,489,"91,19,94,42,26,66,64,41,","การงาน,ความรัก,การเงิน,การเรียน,"
0919457156,489,"91,19,94,45,57,71,15,56,","การงาน,การเงิน,การเรียน,มีปัญหาด้านการเงิน,ความเครียด,ชีวิตอุปสรรค,ความรัก,"
0916843060,193,"91,16,68,84,43,30,06,60,","การงาน,การเรียน,มีปัญหาด้านการเงิน,ชีวิตอุปสรรค,ปัญหาด้านความรัก,ความเครียด,ประมาท,ปัญหาด้านสุขภาพ,"
0919690019,1749,"91,19,96,69,90,00,01,19,","การงาน,การเงิน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ประมาท,"
0991242802,3500,"99,91,12,24,42,28,80,02,","ความมั่นคง,การงาน,ประมาท,ความเครียด,ความรัก,การเงิน,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0991207467,699,"99,91,12,20,07,74,46,67,","ความมั่นคง,การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,ปัญหาด้านสุขภาพ,"
0991268272,1299,"99,91,12,26,68,82,27,72,","ความมั่นคง,การงาน,ประมาท,ความเครียด,การเงิน,ความรัก,มีปัญหาด้านการเงิน,ชีวิตอุปสรรค,ปัญหาด้านความรัก,"
0912023848,9999,"91,12,20,02,23,38,84,48,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ชีวิตอุปสรรค,"
9126467345,12999,"12,26,64,46,67,73,34,45,","ประมาท,ความเครียด,การเงิน,ความรัก,การงาน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,การเรียน,"
0991725850,200,"99,91,17,72,25,58,85,50,","ความมั่นคง,การงาน,ชีวิตอุปสรรค,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,"
0991267137,2499,"99,91,12,26,67,71,13,37,","ความมั่นคง,การงาน,ประมาท,ความเครียด,การเงิน,ความรัก,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0912051913,7299,"91,12,20,05,51,19,91,13,","การงาน,ประมาท,ความเครียด,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ปัญหาด้านสุขภาพ,การเรียน,"
0916652317,234,"91,16,66,65,52,23,31,17,","การงาน,การเรียน,การเงิน,ความรัก,ประมาท,ชีวิตอุปสรรค,ความเครียด,"
0919267073,200,"91,19,92,26,67,70,07,73,","การงาน,การเงิน,ความรัก,ชีวิตอุปสรรค,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,"
0912171715,200000,"91,12,21,17,71,17,71,15,","การงาน,ประมาท,ความเครียด,ชีวิตอุปสรรค,การเงิน,ความรัก,การเรียน,"
0919924098,890,"91,19,99,92,24,40,09,98,","การงาน,ความมั่นคง,ความรัก,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,"
0992333291,54,"99,92,23,33,33,32,29,91,","ความมั่นคง,การงาน,ความรัก,"
0910092070,249,"91,10,00,09,92,20,07,70,","การงาน,ประมาท,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านสุขภาพ,ปัญหาด้านความรัก,"
0990350208,600,"99,90,03,35,50,02,20,08,","ความมั่นคง,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,ประมาท,การงาน,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,"
0991246113,1200,"99,91,12,24,46,61,11,13,","ความมั่นคง,การงาน,ประมาท,ความเครียด,ความรัก,การเรียน,ชีวิตอุปสรรค,"
0991267558,759,"99,91,12,26,67,75,55,58,","ความมั่นคง,การงาน,ประมาท,ความเครียด,การเงิน,ความรัก,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,"
0919006803,590,"91,19,90,00,06,68,80,03,","การงาน,ชีวิตอุปสรรค,ความเครียด,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ปัญหาด้านความรัก,ประมาท,"
0914443538,1733,"91,14,44,44,43,35,53,38,","การงาน,การเงิน,การเรียน,ชีวิตอุปสรรค,มีปัญหาด้านการเงิน,ความเครียด,ปัญหาด้านความรัก,"
0916230093,399,"91,16,62,23,30,00,09,93,","การงาน,การเรียน,การเงิน,ความรัก,ประมาท,ปัญหาด้านสุขภาพ,มีปัญหาด้านการเงิน,ความเครียด,ชีวิตอุปสรรค,"
