double,counts,price
00,113,831250
01,105,806876
02,62,337780
03,66,253174
04,70,517517
05,42,123506
06,65,265286
07,75,318200
08,52,287750
09,79,519723
10,109,629180
11,133,1164774
12,355,5955072
13,93,285836
14,63,341495
15,113,685095
16,164,649431
17,79,875962
18,74,427836
19,292,1107952
20,116,1329114
21,82,2408033
22,46,1023481
23,58,1042625
24,86,370927
25,57,397311
26,91,626186
27,57,414307
28,90,715175
29,86,863635
30,80,642624
31,41,173382
32,52,462015
33,58,288021
34,56,223828
35,65,176282
36,54,118059
37,54,293029
38,38,111380
39,58,227328
40,60,376198
41,46,212007
42,56,304882
43,57,200191
44,68,236246
45,45,282865
46,53,345637
47,45,268464
48,45,118074
49,56,295704
50,61,376196
51,67,224376
52,40,212433
53,54,179474
54,42,280121
55,49,644885
56,50,190382
57,52,527353
58,38,269602
59,48,221046
60,78,445821
61,46,212105
62,51,99983
63,66,83760
64,75,493620
65,46,236992
66,87,402972
67,54,418116
68,52,224066
69,48,401090
70,55,233604
71,51,825280
72,38,171000
73,48,194760
74,50,189866
75,46,250749
76,47,353510
77,43,219268
78,40,357497
79,42,364495
80,54,251777
81,30,216572
82,38,267634
83,47,192502
84,38,177942
85,45,110286
86,34,199941
87,55,373611
88,43,126874
89,45,145202
90,136,443108
91,934,7100896
92,120,143908
93,96,339880
94,85,226886
95,92,856003
96,59,278787
97,50,283641
98,56,120029
99,319,390617
